,Compound,Date,Negative,Neutral,Positive,Source Account,Tweet Text,Tweets Ago
46,0.0,Sun Sep 30 09:04:02 +0000 2018,1.0,0.0,0.0,@BBC,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1",47
47,-0.5994,Sun Sep 30 08:30:16 +0000 2018,0.698,0.302,0.0,@BBC,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,48
48,0.0,Sun Sep 30 07:31:05 +0000 2018,0.752,0.124,0.124,@BBC,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",49
49,0.5859,Sun Sep 30 07:04:02 +0000 2018,0.703,0.0,0.297,@BBC,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",50
50,0.4215,Sat Sep 29 20:32:03 +0000 2018,0.743,0.0,0.257,@BBC,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,51
51,0.4215,Sat Sep 29 17:02:12 +0000 2018,0.865,0.0,0.135,@BBC,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,52
52,-0.7003,Sat Sep 29 16:01:07 +0000 2018,0.707,0.293,0.0,@BBC,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",53
53,0.5499,Sat Sep 29 15:54:38 +0000 2018,0.871,0.0,0.129,@BBC,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",54
54,0.7088,Sat Sep 29 15:02:04 +0000 2018,0.671,0.0,0.329,@BBC,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",55
55,0.0,Sat Sep 29 14:03:07 +0000 2018,1.0,0.0,0.0,@BBC,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",56
56,-0.5256,Sat Sep 29 13:01:07 +0000 2018,0.747,0.253,0.0,@BBC,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",57
57,-0.5622,Sat Sep 29 11:03:02 +0000 2018,0.768,0.232,0.0,@BBC,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",58
58,0.4939,Sat Sep 29 10:03:05 +0000 2018,0.819,0.0,0.181,@BBC,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",59
59,-0.5267,Sat Sep 29 09:01:02 +0000 2018,0.746,0.254,0.0,@BBC,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",60
60,0.6808,Sat Sep 29 08:11:46 +0000 2018,0.763,0.0,0.237,@BBC,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,61
61,-0.1022,Sat Sep 29 08:05:03 +0000 2018,0.691,0.165,0.144,@BBC,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",62
62,0.0,Sat Sep 29 07:03:06 +0000 2018,1.0,0.0,0.0,@BBC,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",63
63,0.0,Sat Sep 29 06:31:00 +0000 2018,1.0,0.0,0.0,@BBC,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",64
64,0.3595,Fri Sep 28 20:31:03 +0000 2018,0.865,0.0,0.135,@BBC,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",65
65,-0.126,Fri Sep 28 18:32:03 +0000 2018,0.846,0.089,0.065,@BBC,"It's the Celebrity MasterChef final! After six gruelling weeks, just two tough challenges stand between the three r… https://t.co/mLCixMGG8v",66
66,0.4215,Fri Sep 28 16:03:07 +0000 2018,0.714,0.0,0.286,@BBC,"Science has confirmed: cats are nice. 😻

https://t.co/nTtAUxYl6v https://t.co/kI8XYPICjA",67
67,0.1531,Fri Sep 28 15:01:02 +0000 2018,0.882,0.0,0.118,@BBC,"😮🐙 You need to watch this seal slap a man with an octopus... 

https://t.co/Njn1fsWeXX",68
68,0.0,Fri Sep 28 14:03:07 +0000 2018,1.0,0.0,0.0,@BBC,In pictures: Politician mothers take their babies to work. 👶📷 https://t.co/wZ4NmFwkOn https://t.co/BTtyJu1WSX,69
69,-0.5346,Fri Sep 28 12:33:00 +0000 2018,0.478,0.345,0.177,@BBC,"Why do we love bees, but hate wasps? https://t.co/2CM65SLLyE",70
70,0.6597,Fri Sep 28 11:04:06 +0000 2018,0.669,0.088,0.243,@BBC,"What kind of snack would you be? 🤔

Kids asking Tom Hardy difficult questions is the best thing you'll see today. 😂… https://t.co/8iFXGQhKlz",71
71,0.0,Fri Sep 28 10:24:29 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBCWomansHour: The 🚨TOP 10🚨 #WomenInMusic on the #WHPowerList have been revealed! 🌟 Featuring the most iconic performers, heads of labe…",72
72,-0.296,Fri Sep 28 10:02:06 +0000 2018,0.872,0.128,0.0,@BBC,"❤️ This story of a missing 49-year-old father is the most moving thing you'll watch today. 

https://t.co/8CYggzS9Hj",73
73,0.5719,Fri Sep 28 09:40:18 +0000 2018,0.829,0.0,0.171,@BBC,"RT @bbcmusic: How are you celebrating #BBCMusicDay today? 

Here's 9 Things to watch out for, including @George_Ezra reading a bedtime stor…",74
74,-0.5994,Fri Sep 28 09:04:01 +0000 2018,0.738,0.262,0.0,@BBC,"How would you cope if you knew how you might die?

https://t.co/VbAFmeDCXQ",75
75,0.5859,Fri Sep 28 08:04:02 +0000 2018,0.798,0.0,0.202,@BBC,"Eggs as conditioner? 🥚🤷

Experts rate the beauty tips that our mums swore by. 👉 https://t.co/HGSuMbUNOj https://t.co/uoUg0LYfQp",76
76,0.3818,Fri Sep 28 07:32:06 +0000 2018,0.867,0.0,0.133,@BBC,"Are children getting too much homework in the UK? 📚🖍

Comedian @robdelaney says kids' workload is ""madness"".… https://t.co/i16FsfwKNb",77
77,0.6808,Fri Sep 28 07:01:05 +0000 2018,0.714,0.0,0.286,@BBC,"Here's some useful advice on how you can help hedgehogs at this time of year. 🦔

https://t.co/TKgF4H0ktl",78
78,0.2263,Thu Sep 27 17:02:07 +0000 2018,0.756,0.089,0.155,@BBC,"This is the quiz where you have to play the answer as well as say it. Famous faces battle it out, testing their ski… https://t.co/WXXa78QNdD",79
79,-0.128,Thu Sep 27 16:03:09 +0000 2018,0.933,0.067,0.0,@BBC,Got a bag of frozen peas lurking at the back of the freezer? Here are 7 things you can do with them. 😋🍴… https://t.co/innpVg70hh,80
80,-0.5574,Thu Sep 27 15:31:07 +0000 2018,0.806,0.194,0.0,@BBC,"John Cunliffe, creator of Postman Pat and Rosie and Jim, has died aged 85. https://t.co/OoHcAgZsu5 https://t.co/PEwPmaItNP",81
81,0.5719,Thu Sep 27 15:06:35 +0000 2018,0.829,0.0,0.171,@BBC,"Flying squirrels are secretive creatures but if you're lucky, you might meet one. Or two. Or three. 😮🐿

https://t.co/vx8aM2dHRt",82
82,-0.4201,Thu Sep 27 14:03:05 +0000 2018,0.883,0.117,0.0,@BBC,"""It's very difficult not to tie your self-worth to the size of your audience"".

@hankgreen on the darker side of in… https://t.co/EF0u3XM6Nj",83
83,0.4939,Thu Sep 27 13:46:00 +0000 2018,0.878,0.0,0.122,@BBC,"If half of the UK switched to reusable water bottles, we'd save enough plastic to stretch to the moon and back in j… https://t.co/HEtqsCQbly",84
84,0.0,Thu Sep 27 13:10:27 +0000 2018,1.0,0.0,0.0,@BBC,RT @BBCNews: Postman Pat and Rosie and Jim author John Cunliffe dies https://t.co/VPI0iFKwaA,85
85,-0.4019,Thu Sep 27 13:03:06 +0000 2018,0.476,0.299,0.225,@BBC,"""Dear haters, you're going to hate this."" 

Oliver reacts to Scotland's 'Dear Transphobes' campaign.

https://t.co/uayhqEP7jP",86
86,0.0,Thu Sep 27 12:32:06 +0000 2018,1.0,0.0,0.0,@BBC,"What a moment! 😮 🐙

A man has been filmed being slapped in the face with a large octopus thrown by a seal. 👉… https://t.co/QxUgZSSXnX",87
87,-0.5267,Thu Sep 27 11:03:03 +0000 2018,0.764,0.236,0.0,@BBC,"Millions of seahorses are caught every year, threatening their global survival. 💔

https://t.co/CUYoiiYtXa",88
88,0.0,Thu Sep 27 10:44:32 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBCTwo: BBC Two just got a brand new look.

Check out some of our new Idents in all their glory…

More info here: https://t.co/5WJBbgGY…",89
89,-0.4753,Thu Sep 27 10:02:02 +0000 2018,0.846,0.154,0.0,@BBC,"We feel for Deirdre trying to answer some of these... it's unlikely Agony Aunt letters! ✉️😂 #MockTheWeek

https://t.co/iUev3YVy9v",90
90,0.8697,Thu Sep 27 09:04:05 +0000 2018,0.62,0.0,0.38,@BBC,"Talk about an anticlimax!

When these rescue workers were called to save a drowning man, they got a HUGE surprise..… https://t.co/PAVPpirEj0",91
91,0.6369,Thu Sep 27 08:04:04 +0000 2018,0.794,0.0,0.206,@BBC,"""It was probably the end of the night and I was definitely ready for my bed."" 😂

When a photo of you in a nightclub… https://t.co/asnG7gQrC9",92
92,0.5411,Thu Sep 27 07:32:04 +0000 2018,0.821,0.0,0.179,@BBC,"Up, up and away! These enormous kites took to the sky at a festival in Germany. 🌬  https://t.co/HSIAQAQQE9 https://t.co/iIWX5ERx8I",93
93,0.5551,Thu Sep 27 07:04:02 +0000 2018,0.661,0.0,0.339,@BBC,"So cute! 😍🐣 Meet Germany's 'Papa Goose'... 

https://t.co/3NtLqZQcnm",94
94,0.0,Wed Sep 26 20:03:06 +0000 2018,1.0,0.0,0.0,@BBC,The 14th Century house used as the birthplace of Harry Potter is still up for sale. ⚡️📖  https://t.co/dcspAsDKrg https://t.co/NEOGYEkwBr,95
95,0.0,Wed Sep 26 19:07:05 +0000 2018,1.0,0.0,0.0,@BBC,"📬Do not post crisp packets to Walkers, says Royal Mail ➡️

https://t.co/3JbgtRfiBQ https://t.co/VWRXGKC9nJ",96
96,0.0,Wed Sep 26 16:02:05 +0000 2018,1.0,0.0,0.0,@BBC,"Did the Duchess of Sussex break protocol when she closed her car door? 

https://t.co/o2n2k0msfU https://t.co/qYmnjcI0ZM",97
97,0.659,Wed Sep 26 15:03:05 +0000 2018,0.597,0.0,0.403,@BBC,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",98
98,-0.25,Wed Sep 26 14:04:00 +0000 2018,0.917,0.083,0.0,@BBC,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",99
99,0.0,Wed Sep 26 14:03:03 +0000 2018,1.0,0.0,0.0,@BBC,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",100
0,0.0,Tue Oct 02 18:36:26 +0000 2018,1.0,0.0,0.0,@CBS,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw",1
1,-0.4449,Tue Oct 02 17:52:53 +0000 2018,0.836,0.164,0.0,@CBS,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO",2
2,0.0,Tue Oct 02 16:49:34 +0000 2018,1.0,0.0,0.0,@CBS,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE",3
3,0.3182,Tue Oct 02 02:42:23 +0000 2018,0.881,0.0,0.119,@CBS,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…",4
4,0.765,Tue Oct 02 01:10:54 +0000 2018,0.708,0.0,0.292,@CBS,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ,5
5,0.0,Tue Oct 02 00:01:07 +0000 2018,1.0,0.0,0.0,@CBS,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…",6
6,0.0,Mon Oct 01 21:56:03 +0000 2018,1.0,0.0,0.0,@CBS,Head over to the CBS Facebook page now for the #FacebookLive with @happytogether’s @wayansjr and @TheNeighborhood’s… https://t.co/37QOrVA1sh,7
7,0.296,Mon Oct 01 16:33:11 +0000 2018,0.864,0.0,0.136,@CBS,Join @happytogether's @wayansjr and @TheNeighborhood's @iamgreenfield for a Facebook Live TODAY at 5:45p ET/2:45 PT… https://t.co/klrx7cA41H,8
8,-0.2263,Sun Sep 30 23:51:26 +0000 2018,0.909,0.091,0.0,@CBS,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in East/Central time zones ONLY. New start times:… https://t.co/zmEn7CVlUi",9
9,0.6124,Sun Sep 30 17:00:00 +0000 2018,0.81,0.0,0.19,@CBS,The cast of @GodFriendedMe answers some heavenly questions about social media before the show premieres tonight aft… https://t.co/61Tx2GTn35,10
10,0.0,Sun Sep 30 14:34:18 +0000 2018,1.0,0.0,0.0,@CBS,RT @CBSAllAccess: Stream NFL on CBS LIVE today starting at 1pm ET on CBS All Access! 🏈 https://t.co/vsod8jYeZl https://t.co/UBp3R4UCAd,11
11,0.0,Fri Sep 28 22:22:01 +0000 2018,1.0,0.0,0.0,@CBS,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",12
12,0.0,Fri Sep 28 20:16:14 +0000 2018,1.0,0.0,0.0,@CBS,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",13
13,0.0,Fri Sep 28 17:52:41 +0000 2018,1.0,0.0,0.0,@CBS,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",14
14,0.0,Fri Sep 28 16:51:50 +0000 2018,1.0,0.0,0.0,@CBS,"⚡️ “Murphy Brown Returns to CBS”

https://t.co/3vsAg7WcB1",15
15,0.0,Thu Sep 27 20:19:18 +0000 2018,1.0,0.0,0.0,@CBS,.@TheNeighborhood's @iamgreenfield revealing his Fiddler on the Roof goals on @latelateshow will be the earworm you… https://t.co/swbh8HPwA1,16
16,0.0,Thu Sep 27 20:01:53 +0000 2018,1.0,0.0,0.0,@CBS,RT @MurphyBrownCBS: A moment 20 years in the making all comes down to this. #MurphyBrown returns to @CBS tonight! https://t.co/tWSMFM3YbG,17
17,0.0,Thu Sep 27 17:19:16 +0000 2018,1.0,0.0,0.0,@CBS,"Candice Bergen tells @colbertlateshow the presidential way tonight's @MurphyBrownCBS premiere imitates life, albeit… https://t.co/4Kbk8gt6nS",18
18,-0.34,Thu Sep 27 16:58:08 +0000 2018,0.526,0.283,0.191,@CBS,@marlagardner222 @jay_hernandez Good idea. The theme song is a dead giveaway. 😉,19
19,0.0,Thu Sep 27 00:44:13 +0000 2018,1.0,0.0,0.0,@CBS,@queenmama7777 @CBSAllAccess We believe in you! https://t.co/ZK0xaPRxVr,20
20,0.0,Thu Sep 27 00:42:15 +0000 2018,1.0,0.0,0.0,@CBS,@BSkyjackcity @jokersupdates @CBSAllAccess On it. https://t.co/yxKX9ry7fw,21
21,0.1139,Wed Sep 26 21:49:27 +0000 2018,0.929,0.0,0.071,@CBS,Sixteen houseguests entered and now it's down to the Final 3. Don't miss a second of the 90-minute #BB20Finale toni… https://t.co/KwDHR9Hfqu,22
22,0.6249,Wed Sep 26 19:57:54 +0000 2018,0.779,0.0,0.221,@CBS,"The tribe has spoken, and they do a pretty decent @JeffProbst impression just in time for the @survivorcbs Season P… https://t.co/2Ps8VKblay",23
23,0.0,Wed Sep 26 17:25:43 +0000 2018,1.0,0.0,0.0,@CBS,"⚡️ “FBI Premieres on CBS”

https://t.co/faL6iHZc5g",24
24,-0.2714,Tue Sep 25 21:10:56 +0000 2018,0.745,0.149,0.106,@CBS,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",25
25,-0.2263,Tue Sep 25 20:31:45 +0000 2018,0.909,0.091,0.0,@CBS,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",26
26,0.0,Tue Sep 25 19:54:26 +0000 2018,1.0,0.0,0.0,@CBS,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,27
27,0.7901,Tue Sep 25 19:45:33 +0000 2018,0.709,0.0,0.291,@CBS,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,28
28,0.0,Tue Sep 25 18:34:26 +0000 2018,1.0,0.0,0.0,@CBS,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",29
29,0.0,Tue Sep 25 18:05:31 +0000 2018,1.0,0.0,0.0,@CBS,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",30
